State/UT,Total Confirmed cases (Indian National),Total Confirmed cases (Foreign National)
Delhi,4,0
Haryana,0,14
Jammu and Kashmir,1,0
Karnataka,1,0
Kerala,9,0
Ladakh,2,0
Maharashtra,2,0
Punjab,1,0
Rajasthan,0,2
Tamil Nadu,1,0
Telengana,1,0
Uttar Pradesh,9,0
India,31,16
